subj_idx,valence,matchness,condition,rt_m,sd,var
11,Bad,mismatch,image_first,781.525,193.31507263452662,37370.717307692306
11,Bad,mismatch,simultaneous,1004.2258064516129,212.82382537009642,45293.98064516129
11,Bad,mismatch,word_first,823.75,215.21888083220455,46319.166666666664
11,Good,match,image_first,579.2,98.36123897823437,9674.933333333332
11,Good,match,simultaneous,862.7142857142857,202.55770004800976,41029.621848739494
11,Good,match,word_first,593.3,68.00497719341521,4624.676923076923
11,Good,mismatch,image_first,770.0512820512821,167.5030162678852,28057.260458839406
11,Good,mismatch,simultaneous,915.1081081081081,187.75246466554836,35250.98798798799
11,Good,mismatch,word_first,694.3333333333334,148.999705639648,22200.912280701756
11,Neutral,match,image_first,729.1315789473684,189.1711896030099,35785.73897581792
11,Neutral,match,simultaneous,871.9722222222222,163.98910871694432,26892.42777777778
11,Neutral,match,word_first,744.625,147.34029815884878,21709.16346153846
11,Neutral,mismatch,image_first,756.675,176.2487152162665,31063.609615384616
11,Neutral,mismatch,simultaneous,925.5,145.86343906936673,21276.14285714286
11,Neutral,mismatch,word_first,818.8974358974359,211.2975944356797,44646.67341430499
12,Bad,match,image_first,623.4571428571429,144.5291224179084,20888.667226890757
12,Bad,match,simultaneous,715,93.2003381447891,8686.30303030303
12,Bad,match,word_first,628.2058823529412,158.9768001774234,25273.622994652407
12,Bad,mismatch,image_first,639.7567567567568,124.94919087493244,15612.3003003003
12,Bad,mismatch,simultaneous,694.7647058823529,107.1939784671128,11490.549019607843
12,Bad,mismatch,word_first,626,112.85925095585115,12737.21052631579
12,Good,match,image_first,529.6,102.19759643919576,10444.348717948718
12,Good,match,simultaneous,594.25,90.07738838041375,8113.9358974358975
12,Good,match,word_first,577.6969696969697,153.5888352160739,23589.530303030304
12,Good,mismatch,image_first,661.2666666666667,139.69842724495018,19515.650574712643
12,Good,mismatch,simultaneous,714.1071428571429,103.88288964937759,10791.654761904761
12,Good,mismatch,word_first,638.0689655172414,126.53032697863465,16009.923645320197
12,Neutral,match,image_first,572.6486486486486,96.7813159815629,9366.623123123123
12,Neutral,match,simultaneous,619.5128205128206,126.19197401179385,15924.414304993252
12,Neutral,match,word_first,580.1818181818181,117.94767233434881,13911.65340909091
12,Neutral,mismatch,image_first,679.34375,111.98894224647303,12541.523185483871
12,Neutral,mismatch,simultaneous,700.7352941176471,150.81501991422823,22745.170231729055
12,Neutral,mismatch,word_first,629.7941176470588,124.37206629078848,15468.410873440285
13,Bad,match,image_first,660.3125,177.0987400002536,31363.96370967742
13,Bad,match,simultaneous,730.7241379310345,144.6905309745409,20935.34975369458
13,Bad,match,word_first,580.6129032258065,101.75646659855902,10354.378494623656
13,Bad,mismatch,image_first,649.2727272727273,173.4589779903437,30088.017045454544
13,Bad,mismatch,simultaneous,831.448275862069,191.53041276721126,36683.899014778326
13,Bad,mismatch,word_first,641.21875,110.0257255475194,12105.660282258064
13,Good,match,image_first,479.95,95.60360201346347,9140.048717948717
13,Good,match,simultaneous,624.7,118.70048495353811,14089.805128205127
13,Good,match,word_first,499,109.71641767617237,12037.692307692309
13,Good,mismatch,image_first,667.78125,112.82836933776609,12730.240927419354
13,Good,mismatch,simultaneous,741.0344827586207,119.63231848299088,14311.891625615763
